"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Sean Murphy","Athletics",".245","4","10.0 %","26.7 %",".333","27.0 %","45.9 %","27.0 %","135","85.7 %","74.4 %","33.7 %","3.6 %","22.2 %","11.5 %","15.5 %","6.11","-1.57","3.43","-8.32","-4.22","31.6 %","64.7 %","47.2 %","50.0 %","88.3 %","74.8 %","56.8 %","21.6 %","21.6 %","19352"
"Shohei Ohtani","Angels",".286","40","8.8 %","26.8 %",".351","24.9 %","46.9 %","28.2 %","136","80.8 %","73.5 %","33.4 %","7.3 %","15.1 %","9.5 %","14.5 %","1.59","-1.13","0.58","1.49","0.26","33.7 %","65.3 %","47.6 %","60.2 %","82.2 %","73.5 %","33.6 %","37.6 %","28.8 %","19755"
"Reese McGuire","Blue Jays",".297","7","6.5 %","19.6 %",".343","28.0 %","39.0 %","33.0 %","133","87.8 %","76.5 %","41.8 %","3.7 %","15.7 %","12.4 %","6.7 %","-1.16","0.12","6.31","1.90","2.16","38.6 %","64.1 %","51.3 %","57.9 %","87.9 %","76.6 %","40.6 %","31.7 %","27.7 %","15674"
"Will Smith","Dodgers",".253","15","9.2 %","26.5 %",".337","17.4 %","28.9 %","53.7 %","132","86.4 %","76.7 %","39.3 %","3.7 %","22.3 %","10.6 %","6.9 %","0.41","1.88","0.99","-1.53","3.01","22.4 %","62.4 %","42.6 %","52.2 %","85.4 %","76.8 %","44.6 %","37.2 %","18.2 %","19197"
"Austin Meadows","- - -",".290","39","8.2 %","21.9 %",".354","22.6 %","36.0 %","41.4 %","134","88.8 %","79.6 %","34.4 %","6.2 %","15.4 %","9.4 %","13.1 %","1.15","1.28","0.30","3.61","0.92","28.6 %","58.6 %","42.8 %","62.4 %","88.8 %","79.5 %","43.6 %","35.3 %","21.2 %","15672"
"Trevor Story","Rockies",".276","123","8.3 %","29.1 %",".341","22.4 %","33.0 %","44.6 %","114","83.5 %","74.2 %","37.5 %","5.9 %","20.8 %","9.3 %","8.0 %","0.51","1.86","0.15","1.07","1.94","31.3 %","68.0 %","48.4 %","55.8 %","84.1 %","74.3 %","40.5 %","34.1 %","25.3 %","12564"
"Max Muncy","- - -",".244","75","15.1 %","25.5 %",".364","21.0 %","37.6 %","41.4 %","132","82.0 %","74.3 %","35.2 %","5.8 %","15.2 %","10.4 %","12.1 %","1.88","0.24","0.15","-0.42","-0.34","21.1 %","57.4 %","38.6 %","53.3 %","82.4 %","74.1 %","44.3 %","31.7 %","23.9 %","13301"
"Yoenis Cespedes","- - -",".285","92","7.2 %","21.2 %",".341","19.6 %","38.0 %","42.4 %","133","87.5 %","78.2 %","39.1 %","4.6 %","17.4 %","7.6 %","8.5 %","0.76","0.46","-0.16","3.49","0.45","35.6 %","64.3 %","48.6 %","63.6 %","87.8 %","78.1 %","42.0 %","35.2 %","22.8 %","13110"
"Tyler Heineman","Marlins",".273","1","0.0 %","33.3 %",".273","42.9 %","28.6 %","28.6 %","130","80.0 %","72.0 %","66.0 %","","","6.4 %","8.5 %","4.96","","","-4.44","-12.63","47.1 %","56.7 %","53.2 %","62.5 %","76.5 %","72.0 %","62.5 %","12.5 %","25.0 %","13897"
"Jamie Romak","Diamondbacks",".333","0","6.3 %","37.5 %",".375","33.3 %","22.2 %","44.4 %","127","65.2 %","60.6 %","32.4 %","2.9 %","17.7 %","8.8 %","13.2 %","-2.22","-11.12","5.46","-0.45","-4.92","28.6 %","69.7 %","48.5 %","40.0 %","69.6 %","60.6 %","44.4 %","22.2 %","33.3 %","5552"
