"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Michael Brantley","- - -",".307","63","8.5 %","10.2 %",".368","23.5 %","46.0 %","30.5 %","125","96.2 %","90.9 %","37.3 %","4.9 %","14.7 %","8.5 %","10.5 %","1.05","1.91","1.23","0.15","1.21","27.2 %","61.1 %","43.7 %","78.9 %","96.5 %","90.8 %","40.8 %","34.5 %","24.7 %","4106"
"Carlos Correa","Astros",".277","102","10.8 %","21.0 %",".356","21.4 %","46.8 %","31.8 %","129","86.4 %","78.4 %","31.8 %","6.1 %","19.1 %","9.0 %","9.7 %","0.88","0.84","0.12","0.71","1.77","29.5 %","61.6 %","43.7 %","65.1 %","87.0 %","78.7 %","35.7 %","35.6 %","28.7 %","14162"
"Andre Ethier","Dodgers",".285","17","9.6 %","17.9 %",".358","24.9 %","39.5 %","35.6 %","130","90.2 %","81.5 %","35.7 %","4.8 %","12.6 %","7.5 %","12.4 %","-0.08","2.51","0.32","-0.72","2.55","32.6 %","66.3 %","48.1 %","67.9 %","89.0 %","81.3 %","42.2 %","36.2 %","21.6 %","6265"
"Kyle Lewis","Mariners",".268","6","4.0 %","38.7 %",".293","14.0 %","51.2 %","34.9 %","127","74.7 %","63.0 %","32.8 %","8.2 %","21.0 %","12.1 %","11.5 %","1.26","9.05","-0.15","2.25","-5.78","32.3 %","64.6 %","47.9 %","43.1 %","74.7 %","63.7 %","30.2 %","32.6 %","37.2 %","19508"
"Tommy Edman","Cardinals",".304","11","4.6 %","17.5 %",".350","24.7 %","40.7 %","34.6 %","123","89.1 %","82.6 %","39.8 %","7.3 %","9.7 %","10.9 %","11.7 %","0.56","0.12","-0.09","1.57","1.19","31.7 %","63.9 %","47.7 %","67.4 %","90.6 %","82.9 %","41.9 %","33.6 %","24.5 %","19470"
"Ramon Laureano","Athletics",".288","29","6.5 %","26.3 %",".345","25.1 %","37.7 %","37.2 %","127","86.2 %","73.5 %","29.8 %","6.3 %","20.4 %","9.3 %","11.3 %","1.09","0.16","-0.63","0.00","0.02","30.6 %","63.9 %","46.9 %","48.4 %","86.4 %","73.7 %","43.2 %","34.6 %","22.2 %","17128"
"Franklin Gutierrez","- - -",".261","30","9.3 %","29.0 %",".336","19.1 %","48.8 %","32.1 %","129","80.4 %","69.9 %","29.0 %","5.5 %","15.9 %","9.0 %","14.5 %","2.48","-2.59","-1.36","-2.58","0.84","27.4 %","60.7 %","42.4 %","51.4 %","80.1 %","70.0 %","43.5 %","38.3 %","18.2 %","3255"
"Ryan Braun","Brewers",".281","114","8.2 %","19.1 %",".345","19.9 %","50.9 %","29.2 %","121","88.6 %","79.0 %","36.0 %","5.4 %","16.3 %","7.4 %","8.7 %","1.13","-0.71","1.32","-0.09","1.71","35.5 %","70.0 %","51.4 %","63.1 %","88.3 %","78.9 %","36.9 %","35.9 %","27.2 %","3410"
"Matt Chapman","Athletics",".257","74","10.1 %","23.9 %",".341","17.5 %","39.5 %","43.0 %","127","84.2 %","77.3 %","33.9 %","5.8 %","19.1 %","9.0 %","9.3 %","0.03","0.39","0.21","-0.09","1.29","24.7 %","60.2 %","42.0 %","61.7 %","83.8 %","77.2 %","40.1 %","35.5 %","24.4 %","16505"
"Manny Machado","- - -",".279","174","8.7 %","16.7 %",".343","17.7 %","40.9 %","41.3 %","123","88.5 %","80.2 %","35.8 %","6.2 %","18.1 %","7.4 %","10.1 %","1.32","1.69","-0.06","0.69","-0.56","29.3 %","68.8 %","47.3 %","63.2 %","88.6 %","80.1 %","39.4 %","35.4 %","25.2 %","11493"
"Eric Thames","Brewers",".241","72","12.0 %","31.1 %",".343","20.3 %","35.5 %","44.2 %","118","81.0 %","69.3 %","36.1 %","4.9 %","14.8 %","9.6 %","13.5 %","1.20","2.90","0.37","-1.04","1.17","29.3 %","63.9 %","45.5 %","49.8 %","79.5 %","69.2 %","44.3 %","32.1 %","23.7 %","3711"
"Joey Gallo","Rangers",".212","110","14.2 %","38.0 %",".331","21.0 %","28.9 %","50.1 %","115","70.8 %","59.5 %","32.5 %","4.5 %","17.6 %","11.1 %","13.0 %","0.95","2.65","-0.26","-0.01","0.38","30.8 %","67.7 %","46.5 %","40.0 %","71.4 %","59.5 %","49.4 %","29.4 %","21.2 %","14128"
"Andrew McCutchen","- - -",".269","105","12.8 %","20.0 %",".368","22.3 %","39.5 %","38.2 %","123","83.9 %","77.9 %","35.4 %","5.6 %","18.4 %","7.6 %","10.1 %","0.94","1.14","-0.33","1.95","0.01","21.2 %","65.4 %","42.9 %","58.3 %","84.4 %","77.8 %","42.8 %","35.8 %","21.4 %","9847"
"Gleyber Torres","Yankees",".275","62","8.3 %","23.1 %",".338","22.4 %","35.3 %","42.3 %","123","82.9 %","72.9 %","32.2 %","7.4 %","23.1 %","9.2 %","9.2 %","0.99","-1.00","-0.30","1.46","0.77","32.9 %","70.7 %","50.3 %","56.9 %","81.2 %","72.6 %","43.5 %","32.3 %","24.3 %","16997"
"Jose Abreu","White Sox",".288","143","5.9 %","19.6 %",".343","20.6 %","45.8 %","33.6 %","125","88.0 %","77.7 %","33.8 %","5.5 %","18.5 %","9.3 %","8.4 %","1.29","-0.04","-0.48","-0.07","1.68","37.4 %","65.1 %","49.6 %","61.9 %","89.0 %","77.6 %","39.1 %","34.4 %","26.5 %","15676"
"Gary Sanchez","Yankees",".246","105","9.5 %","25.2 %",".328","18.6 %","40.6 %","40.7 %","123","84.1 %","72.0 %","30.8 %","5.7 %","22.6 %","9.5 %","10.1 %","1.11","-0.20","0.11","-0.03","1.17","34.0 %","60.2 %","45.4 %","55.1 %","84.1 %","71.9 %","51.4 %","31.3 %","17.3 %","11442"
"Xander Bogaerts","Red Sox",".298","94","8.4 %","17.2 %",".360","20.3 %","46.4 %","33.3 %","119","89.6 %","80.9 %","34.8 %","6.2 %","19.7 %","8.2 %","8.8 %","1.01","-1.07","0.59","0.64","0.84","30.1 %","59.9 %","44.1 %","65.5 %","89.6 %","80.9 %","40.9 %","33.2 %","25.9 %","12161"
"David Peralta","Diamondbacks",".290","77","7.7 %","19.6 %",".350","20.2 %","52.2 %","27.6 %","117","87.7 %","78.5 %","34.8 %","6.1 %","14.5 %","9.1 %","12.2 %","0.48","-0.31","1.25","0.69","0.80","33.9 %","66.4 %","48.8 %","63.0 %","88.0 %","78.6 %","36.1 %","38.3 %","25.7 %","2136"
"Francisco Lindor","Indians",".288","130","8.0 %","14.0 %",".347","20.5 %","43.7 %","35.8 %","119","91.3 %","84.5 %","35.8 %","4.0 %","13.5 %","9.3 %","13.1 %","0.59","-0.31","1.04","0.19","0.78","31.9 %","65.9 %","48.2 %","72.0 %","91.3 %","84.7 %","40.2 %","34.7 %","25.2 %","12916"
"Adrian Beltre","Rangers",".292","82","7.6 %","13.1 %",".349","21.3 %","40.7 %","38.0 %","116","89.1 %","83.2 %","32.0 %","5.9 %","19.2 %","7.3 %","10.2 %","0.39","1.15","0.50","1.26","1.13","34.0 %","63.7 %","47.7 %","72.6 %","89.6 %","83.1 %","39.9 %","36.1 %","24.0 %","639"
"Miguel Sano","Twins",".245","118","12.0 %","36.3 %",".338","20.5 %","37.1 %","42.4 %","121","76.6 %","63.8 %","31.5 %","7.0 %","22.0 %","9.0 %","10.2 %","1.35","0.44","-0.78","0.18","-0.73","26.6 %","64.8 %","43.7 %","34.6 %","78.7 %","63.9 %","44.3 %","34.3 %","21.4 %","12164"
"Eugenio Suarez","Reds",".267","143","9.8 %","24.9 %",".347","22.6 %","38.8 %","38.6 %","117","85.9 %","76.3 %","36.5 %","6.6 %","16.0 %","8.2 %","8.7 %","0.34","1.12","-0.66","0.31","1.09","25.4 %","63.9 %","44.0 %","53.0 %","86.2 %","76.2 %","43.6 %","32.2 %","24.2 %","12552"
"Michael Conforto","Mets",".253","109","12.3 %","24.2 %",".353","21.9 %","38.8 %","39.3 %","125","83.8 %","75.4 %","33.6 %","4.6 %","15.1 %","9.8 %","13.6 %","0.61","0.98","0.36","-0.72","-0.17","28.4 %","61.8 %","43.9 %","58.7 %","84.4 %","75.5 %","40.7 %","33.5 %","25.8 %","16376"
"Carlos Santana","- - -",".252","134","15.2 %","15.2 %",".367","17.5 %","42.7 %","39.9 %","119","87.7 %","82.0 %","35.1 %","4.5 %","12.7 %","8.3 %","16.0 %","0.48","0.37","0.40","1.76","0.96","20.5 %","60.1 %","39.3 %","66.0 %","88.0 %","82.0 %","50.2 %","31.3 %","18.5 %","2396"
"Jose Martinez","Cardinals",".298","41","9.2 %","19.2 %",".363","25.6 %","46.4 %","28.0 %","122","87.3 %","80.1 %","36.5 %","6.1 %","18.5 %","8.1 %","8.6 %","0.52","0.58","-0.21","1.71","1.27","27.0 %","61.4 %","43.1 %","66.2 %","87.0 %","80.0 %","32.2 %","36.6 %","31.2 %","7996"
"Mike Yastrzemski","Giants",".272","21","7.8 %","26.0 %",".334","22.8 %","33.8 %","43.3 %","121","81.5 %","75.5 %","40.7 %","5.1 %","14.3 %","8.1 %","10.3 %","-0.43","1.22","1.34","1.95","2.65","30.0 %","63.9 %","47.1 %","63.4 %","81.1 %","75.5 %","42.2 %","29.5 %","28.4 %","14854"
"DJ LeMahieu","- - -",".313","66","8.1 %","14.2 %",".370","24.4 %","52.1 %","23.5 %","108","93.1 %","87.6 %","42.4 %","5.7 %","15.7 %","6.5 %","6.6 %","0.48","0.96","0.32","2.03","3.00","26.2 %","59.4 %","42.8 %","75.0 %","92.9 %","87.4 %","24.4 %","39.9 %","35.7 %","9874"
"Ryan Kalish","Cubs",".286","0","10.0 %","0.0 %",".444","28.6 %","57.1 %","14.3 %","119","100.0 %","90.5 %","7.1 %","","11.9 %","4.8 %","23.8 %","-0.14","","4.58","0.00","-9.10","33.3 %","66.7 %","50.0 %","71.4 %","100.0 %","90.5 %","62.5 %","25.0 %","12.5 %","6962"
"Brandon Snyder","- - -",".231","4","1.9 %","34.0 %",".245","17.6 %","47.1 %","35.3 %","120","84.5 %","69.6 %","26.3 %","2.2 %","24.6 %","11.2 %","10.7 %","0.34","9.80","-2.02","-1.20","3.88","38.3 %","63.3 %","51.3 %","39.0 %","86.5 %","69.6 %","47.1 %","17.7 %","35.3 %","9856"
"Shin-Soo Choo","Rangers",".265","96","12.3 %","22.9 %",".369","22.3 %","49.5 %","28.1 %","114","83.1 %","75.6 %","35.5 %","4.9 %","15.2 %","9.0 %","11.5 %","1.56","-0.39","-0.37","0.29","-0.15","21.2 %","61.8 %","41.3 %","52.4 %","83.8 %","75.6 %","41.3 %","34.7 %","24.0 %","3174"
"Mitch Haniger","- - -",".267","62","9.5 %","23.3 %",".348","20.3 %","41.2 %","38.5 %","124","86.9 %","77.5 %","34.0 %","5.1 %","18.9 %","9.5 %","9.1 %","1.25","-0.31","0.88","-0.21","0.99","25.0 %","60.8 %","42.1 %","52.7 %","88.8 %","77.6 %","45.5 %","34.5 %","20.0 %","14274"
"David Wright","Mets",".258","12","14.4 %","26.7 %",".365","26.0 %","31.0 %","43.0 %","125","81.3 %","73.9 %","40.4 %","5.3 %","17.5 %","7.0 %","6.2 %","1.18","1.42","-0.41","0.33","0.72","22.1 %","61.1 %","41.0 %","52.8 %","82.3 %","74.1 %","34.5 %","34.0 %","31.5 %","3787"
"Willson Contreras","Cubs",".267","67","9.7 %","23.3 %",".350","17.1 %","52.3 %","30.6 %","117","79.5 %","71.7 %","33.5 %","4.6 %","19.3 %","8.7 %","9.6 %","0.51","-0.12","0.68","1.54","0.15","33.6 %","67.3 %","48.7 %","57.0 %","80.5 %","71.5 %","42.3 %","33.3 %","24.4 %","11609"
"Josh Bell","Pirates",".265","78","12.1 %","18.2 %",".354","18.7 %","48.1 %","33.2 %","118","84.5 %","78.2 %","36.2 %","5.0 %","12.6 %","8.2 %","16.1 %","0.59","-1.01","0.67","0.60","-0.19","26.7 %","68.0 %","44.8 %","64.9 %","84.5 %","77.9 %","38.0 %","33.5 %","28.6 %","13145"
"Jackson Williams","Giants",".200","0","28.6 %","7.1 %",".429","11.1 %","66.7 %","22.2 %","125","100.0 %","82.4 %","39.7 %","12.1 %","20.7 %","6.9 %","5.2 %","2.56","9.97","-6.53","8.01","4.55","17.1 %","47.8 %","29.3 %","50.0 %","100.0 %","82.4 %","33.3 %","44.4 %","22.2 %","8524"
"Rafael Devers","Red Sox",".282","63","7.3 %","20.7 %",".335","18.4 %","45.7 %","35.9 %","114","82.6 %","76.3 %","37.2 %","5.4 %","15.6 %","8.5 %","13.1 %","0.37","-0.04","1.18","1.59","1.55","38.5 %","71.3 %","53.2 %","67.6 %","82.3 %","76.5 %","39.3 %","32.9 %","27.9 %","17350"
"Lane Adams","Braves",".269","7","9.3 %","29.8 %",".340","19.1 %","47.2 %","33.7 %","113","76.4 %","62.9 %","31.7 %","4.0 %","17.2 %","10.2 %","10.9 %","-1.17","4.88","-1.99","2.55","5.66","33.4 %","64.6 %","47.8 %","38.8 %","78.2 %","63.4 %","60.4 %","26.4 %","13.2 %","10767"
"A.J. Pollock","- - -",".280","72","7.4 %","17.2 %",".339","20.7 %","45.9 %","33.5 %","115","92.1 %","81.1 %","32.3 %","6.8 %","19.7 %","9.4 %","8.5 %","1.62","-0.57","0.31","0.40","-0.25","29.6 %","63.6 %","45.5 %","60.9 %","91.8 %","81.0 %","43.6 %","35.2 %","21.2 %","9256"
"Trea Turner","Nationals",".291","63","7.5 %","18.6 %",".348","19.0 %","48.2 %","32.8 %","113","88.5 %","79.3 %","34.4 %","5.1 %","19.5 %","8.7 %","9.4 %","1.12","-0.18","0.30","0.47","0.65","27.5 %","63.1 %","44.8 %","58.6 %","88.6 %","79.2 %","41.0 %","36.2 %","22.8 %","16252"
"Brandon Lowe","Rays",".259","23","8.6 %","31.8 %",".333","25.2 %","34.7 %","40.1 %","122","76.8 %","64.7 %","29.4 %","4.9 %","20.3 %","11.1 %","12.4 %","2.58","-1.20","-0.48","-1.00","1.87","31.1 %","75.2 %","52.7 %","41.3 %","75.1 %","64.9 %","43.8 %","34.1 %","22.1 %","18882"
"Joc Pederson","Dodgers",".234","123","12.1 %","24.1 %",".339","17.8 %","41.6 %","40.7 %","120","82.2 %","74.2 %","38.6 %","5.0 %","14.7 %","8.8 %","13.1 %","0.50","-0.01","0.14","1.04","-0.07","28.8 %","62.0 %","43.7 %","61.0 %","81.7 %","74.2 %","45.0 %","34.1 %","20.9 %","11899"
"Kyle Schwarber","Cubs",".235","110","13.0 %","27.9 %",".339","18.1 %","40.0 %","41.9 %","115","80.5 %","72.0 %","35.8 %","4.5 %","15.1 %","10.2 %","12.3 %","0.45","0.06","-0.52","0.63","1.58","27.6 %","61.4 %","43.2 %","56.6 %","79.8 %","71.8 %","43.2 %","31.5 %","25.4 %","16478"
"Adam Eaton","- - -",".287","50","9.4 %","17.2 %",".368","21.4 %","48.3 %","30.3 %","117","90.2 %","83.9 %","40.9 %","4.1 %","12.6 %","8.6 %","9.5 %","0.63","1.33","-0.65","0.27","1.00","30.9 %","57.3 %","44.0 %","73.7 %","89.5 %","84.0 %","31.0 %","34.3 %","34.7 %","11205"
"Brandon Belt","Giants",".258","84","13.1 %","23.2 %",".359","26.3 %","28.3 %","45.3 %","119","84.0 %","76.7 %","40.5 %","5.2 %","14.2 %","9.0 %","11.3 %","0.55","0.58","-0.14","0.41","0.28","27.8 %","70.7 %","47.5 %","64.3 %","82.5 %","76.7 %","39.0 %","33.9 %","27.1 %","10264"
"Seth Brown","Athletics",".293","0","8.4 %","27.7 %",".361","28.8 %","32.7 %","38.5 %","120","80.9 %","68.9 %","33.6 %","3.6 %","15.0 %","11.1 %","18.3 %","1.67","4.89","3.05","-8.28","1.76","28.1 %","63.2 %","44.4 %","50.0 %","78.6 %","68.9 %","42.3 %","36.5 %","21.2 %","18171"
"Jesus Aguilar","- - -",".260","63","9.9 %","25.6 %",".337","22.0 %","39.1 %","38.9 %","114","81.3 %","72.5 %","34.7 %","5.1 %","19.9 %","9.0 %","9.7 %","0.88","-2.67","0.17","-0.22","0.11","32.2 %","61.4 %","45.5 %","56.5 %","82.6 %","72.5 %","40.6 %","37.2 %","22.3 %","11342"
"Miguel Andujar","Yankees",".287","27","4.1 %","16.3 %",".318","19.3 %","44.5 %","36.3 %","119","91.1 %","81.1 %","29.3 %","7.1 %","21.1 %","10.3 %","11.2 %","0.72","2.43","-0.52","3.22","0.76","39.6 %","70.2 %","53.1 %","66.9 %","91.5 %","81.2 %","47.3 %","30.2 %","22.5 %","15878"
"Trey Mancini","Orioles",".276","86","7.3 %","22.9 %",".335","20.2 %","50.3 %","29.5 %","115","82.1 %","74.2 %","30.8 %","7.1 %","21.0 %","9.3 %","11.4 %","1.67","-0.26","-0.61","-0.70","-0.04","33.0 %","69.9 %","49.5 %","57.8 %","83.4 %","74.0 %","36.9 %","36.3 %","26.9 %","15149"
"Yasmani Grandal","- - -",".240","117","13.9 %","23.9 %",".348","18.2 %","42.5 %","39.3 %","117","84.0 %","75.6 %","36.0 %","5.3 %","13.1 %","9.5 %","14.2 %","0.78","-0.99","-0.91","-0.30","0.02","26.8 %","55.4 %","40.1 %","60.7 %","84.0 %","75.7 %","42.0 %","35.4 %","22.6 %","11368"
"Franmil Reyes","- - -",".260","53","8.5 %","28.3 %",".321","21.3 %","45.8 %","32.9 %","115","78.1 %","66.9 %","34.4 %","6.3 %","21.2 %","9.5 %","9.9 %","0.10","2.50","0.75","-0.51","0.30","32.2 %","71.7 %","49.7 %","44.8 %","79.0 %","66.7 %","36.7 %","40.1 %","23.2 %","14566"
"Khris Davis","- - -",".242","183","9.2 %","27.8 %",".317","17.9 %","40.0 %","42.1 %","119","77.2 %","68.3 %","32.2 %","6.5 %","20.8 %","7.3 %","10.6 %","0.99","-1.87","-0.63","0.19","-0.32","27.7 %","73.4 %","49.6 %","46.5 %","77.1 %","68.2 %","37.8 %","38.7 %","23.5 %","9112"
"Justin Upton","- - -",".253","134","10.5 %","28.1 %",".335","18.9 %","39.0 %","42.1 %","119","78.7 %","71.0 %","34.9 %","6.1 %","18.8 %","8.0 %","9.2 %","0.58","1.34","0.45","0.49","-0.93","24.5 %","64.7 %","43.9 %","49.3 %","79.8 %","71.0 %","41.4 %","34.9 %","23.7 %","5222"
"Nicholas Castellanos","- - -",".280","109","6.5 %","22.9 %",".330","25.0 %","35.9 %","39.1 %","115","84.9 %","73.0 %","33.8 %","5.6 %","21.4 %","8.0 %","10.4 %","0.86","-0.56","-0.51","1.08","0.72","36.4 %","72.7 %","52.9 %","52.5 %","85.3 %","73.0 %","40.1 %","33.3 %","26.6 %","11737"
"Jeremy Hazelbaker","- - -",".258","14","9.5 %","29.5 %",".327","16.8 %","47.3 %","35.9 %","113","85.5 %","74.5 %","32.7 %","3.5 %","15.2 %","11.0 %","12.6 %","0.70","-0.68","1.71","-1.96","0.33","34.9 %","67.2 %","50.6 %","54.4 %","85.7 %","74.5 %","35.1 %","36.8 %","28.2 %","9399"
"Domingo Santana","- - -",".262","75","10.7 %","31.5 %",".346","26.3 %","45.3 %","28.4 %","114","78.9 %","69.4 %","35.2 %","5.3 %","17.3 %","8.9 %","11.7 %","0.55","0.60","1.50","-0.15","-0.95","25.8 %","67.8 %","45.5 %","44.8 %","79.8 %","69.2 %","37.2 %","35.9 %","27.0 %","10348"
"Mike Moustakas","- - -",".264","130","7.4 %","15.1 %",".325","19.2 %","36.4 %","44.4 %","113","89.0 %","81.1 %","33.9 %","4.7 %","14.6 %","10.9 %","12.2 %","0.18","-1.06","1.16","-0.35","1.08","34.7 %","69.8 %","50.7 %","68.2 %","88.7 %","81.0 %","41.5 %","32.6 %","25.9 %","4892"
"Robinson Cano","- - -",".285","106","7.0 %","14.5 %",".340","20.7 %","48.6 %","30.7 %","120","91.4 %","83.1 %","34.7 %","4.9 %","13.3 %","8.6 %","10.7 %","1.43","1.14","-0.54","0.28","0.13","37.2 %","67.4 %","51.1 %","69.9 %","91.5 %","83.1 %","37.3 %","37.3 %","25.4 %","3269"
"Eloy Jimenez","White Sox",".267","31","6.0 %","26.6 %",".315","18.2 %","47.9 %","33.9 %","116","80.2 %","69.4 %","29.1 %","6.5 %","26.5 %","9.6 %","9.7 %","0.35","-1.88","0.71","1.81","0.23","34.7 %","71.1 %","50.0 %","49.3 %","82.7 %","69.3 %","43.2 %","33.6 %","23.2 %","17484"
"Ian Happ","Cubs",".246","50","12.0 %","32.5 %",".340","20.3 %","40.4 %","39.3 %","112","75.2 %","66.4 %","36.7 %","4.5 %","13.9 %","7.4 %","13.0 %","-0.66","-0.63","-1.12","2.29","1.48","30.4 %","65.7 %","46.6 %","51.3 %","74.6 %","66.4 %","39.7 %","34.5 %","25.8 %","17919"
"Dustin Pedroia","Red Sox",".299","34","9.3 %","10.8 %",".364","21.8 %","49.3 %","28.9 %","111","92.6 %","89.0 %","41.4 %","4.8 %","15.9 %","7.3 %","7.7 %","1.04","0.18","0.37","-0.02","0.57","27.3 %","57.1 %","42.7 %","83.2 %","91.6 %","88.9 %","36.8 %","35.9 %","27.3 %","8370"
"Ryan Raburn","- - -",".256","19","10.5 %","28.3 %",".340","19.9 %","45.3 %","34.8 %","106","81.0 %","73.1 %","36.3 %","4.7 %","14.9 %","7.9 %","13.6 %","0.36","0.64","0.22","-0.09","1.09","24.3 %","67.9 %","45.1 %","54.6 %","80.6 %","73.2 %","41.8 %","31.0 %","27.2 %","2218"
"Cavan Biggio","Blue Jays",".234","16","16.5 %","28.6 %",".364","27.6 %","25.4 %","47.0 %","114","85.6 %","75.9 %","38.2 %","4.0 %","16.7 %","7.8 %","11.7 %","0.78","1.95","-0.49","-0.92","0.24","17.0 %","56.4 %","36.0 %","49.1 %","84.6 %","75.9 %","49.4 %","32.6 %","18.0 %","19252"
"Lourdes Gurriel Jr.","Blue Jays",".279","31","4.8 %","23.9 %",".320","20.4 %","41.1 %","38.5 %","115","82.3 %","72.8 %","37.2 %","5.2 %","22.6 %","8.3 %","9.1 %","0.19","3.67","0.86","-0.42","2.08","37.4 %","69.3 %","51.6 %","57.9 %","82.7 %","72.7 %","42.1 %","31.5 %","26.4 %","19238"
"Jorge Soler","- - -",".252","81","10.3 %","27.4 %",".337","21.0 %","41.1 %","37.9 %","113","81.4 %","68.2 %","28.4 %","5.8 %","24.8 %","7.8 %","11.9 %","2.43","0.89","-0.58","0.13","-0.75","27.4 %","66.9 %","44.9 %","42.5 %","81.5 %","68.3 %","45.6 %","32.8 %","21.7 %","14221"
"Jung Ho Kang","Pirates",".254","46","7.3 %","23.2 %",".331","21.7 %","45.6 %","32.7 %","116","84.5 %","75.1 %","32.5 %","5.0 %","20.8 %","9.5 %","11.4 %","1.85","-1.59","-1.14","1.20","0.23","26.0 %","60.1 %","42.8 %","54.0 %","84.1 %","74.8 %","47.5 %","32.7 %","19.8 %","17182"
"Carlos Gonzalez","- - -",".273","98","8.3 %","22.3 %",".333","18.6 %","47.8 %","33.6 %","99","82.1 %","71.1 %","41.5 %","5.5 %","13.5 %","7.6 %","11.7 %","1.01","0.10","-0.86","0.30","0.75","37.8 %","71.0 %","51.5 %","55.8 %","82.6 %","71.1 %","38.4 %","37.7 %","23.9 %","7287"
"Ryan Schimpf","- - -",".195","35","13.3 %","33.3 %",".318","15.8 %","19.8 %","64.5 %","114","81.5 %","73.9 %","34.9 %","4.3 %","16.0 %","11.0 %","9.8 %","0.18","0.73","-0.97","-1.66","5.06","26.9 %","56.5 %","41.2 %","59.3 %","81.6 %","74.1 %","42.5 %","31.9 %","25.6 %","9953"
"Kyle Garlick","Dodgers",".250","3","9.4 %","35.8 %",".321","20.7 %","20.7 %","58.6 %","114","77.4 %","65.7 %","37.4 %","9.1 %","21.7 %","9.6 %","8.1 %","2.77","7.57","-1.89","0.24","-8.27","38.1 %","69.9 %","53.0 %","42.5 %","80.0 %","65.7 %","37.9 %","24.1 %","37.9 %","18063"
"Ji-Man Choi","- - -",".248","36","12.6 %","22.8 %",".347","21.5 %","43.7 %","34.8 %","117","84.6 %","75.7 %","36.3 %","5.5 %","14.6 %","10.5 %","14.6 %","0.82","-1.41","0.59","0.18","-0.13","24.2 %","61.3 %","42.0 %","53.8 %","84.9 %","75.6 %","39.0 %","35.4 %","25.6 %","5452"
"Corey Dickerson","- - -",".282","86","5.2 %","21.5 %",".321","23.6 %","38.6 %","37.8 %","114","79.3 %","75.7 %","37.2 %","5.4 %","12.8 %","8.6 %","11.5 %","-0.06","-1.50","1.26","0.27","0.09","46.8 %","71.9 %","58.0 %","71.8 %","78.9 %","75.8 %","33.1 %","35.0 %","31.9 %","10762"
"Buster Posey","Giants",".295","57","9.6 %","11.5 %",".366","22.4 %","46.2 %","31.4 %","116","91.6 %","86.2 %","36.4 %","6.3 %","17.8 %","8.2 %","8.7 %","0.63","0.12","-0.32","0.88","0.88","28.0 %","66.4 %","46.1 %","75.2 %","91.3 %","86.2 %","35.3 %","37.3 %","27.4 %","9166"
"Howie Kendrick","- - -",".297","47","6.9 %","17.0 %",".350","21.5 %","56.1 %","22.4 %","113","89.5 %","81.4 %","37.6 %","5.7 %","16.9 %","8.3 %","7.9 %","0.21","-0.60","-0.13","0.81","0.42","33.5 %","66.1 %","49.2 %","65.4 %","90.2 %","81.5 %","29.4 %","39.2 %","31.5 %","4229"
"Robinson Chirinos","- - -",".234","71","10.7 %","27.9 %",".340","19.7 %","35.5 %","44.8 %","110","81.3 %","71.0 %","36.2 %","5.7 %","17.8 %","7.0 %","9.1 %","0.51","0.04","-0.01","2.16","-0.38","27.8 %","62.8 %","44.5 %","52.0 %","80.2 %","71.0 %","50.2 %","30.1 %","19.7 %","3142"
"Justin Smoak","Blue Jays",".237","117","12.7 %","24.5 %",".338","21.4 %","36.7 %","41.9 %","114","86.0 %","76.3 %","34.4 %","4.1 %","14.0 %","11.2 %","13.5 %","0.82","-0.71","-0.18","-1.02","1.21","25.8 %","61.0 %","41.8 %","57.2 %","86.0 %","76.3 %","45.5 %","32.0 %","22.6 %","9054"
"David Freese","- - -",".274","59","9.2 %","24.5 %",".355","20.1 %","55.1 %","24.8 %","114","84.7 %","76.6 %","37.6 %","5.1 %","15.7 %","7.5 %","8.6 %","1.14","-0.14","-0.11","-0.32","-0.14","26.9 %","63.1 %","44.2 %","56.9 %","85.9 %","76.6 %","33.5 %","35.7 %","30.8 %","9549"
"Jose Bautista","- - -",".224","98","15.3 %","21.6 %",".348","16.8 %","37.4 %","45.8 %","115","85.5 %","76.7 %","34.7 %","4.6 %","20.1 %","9.7 %","9.2 %","0.10","0.10","-0.12","0.61","1.26","22.1 %","59.9 %","39.2 %","55.7 %","86.1 %","76.7 %","50.2 %","30.8 %","19.0 %","1887"
"Andrew Benintendi","Red Sox",".277","51","10.2 %","18.7 %",".354","22.3 %","39.6 %","38.1 %","109","86.5 %","81.1 %","37.1 %","5.7 %","13.9 %","8.0 %","12.7 %","0.43","-1.81","0.69","2.20","0.22","29.8 %","65.7 %","46.8 %","72.6 %","85.5 %","81.2 %","36.5 %","35.6 %","27.9 %","17901"
"Yuli Gurriel","Astros",".293","65","4.6 %","10.7 %",".330","20.4 %","42.7 %","36.8 %","117","91.7 %","85.1 %","31.9 %","6.6 %","19.1 %","8.5 %","10.7 %","-0.10","0.77","1.25","1.87","-0.25","33.4 %","68.3 %","49.8 %","72.1 %","92.0 %","85.0 %","42.7 %","35.8 %","21.6 %","19198"
